text,label,intent_name,orig_train_index
When will I receive the cash payment from the check I deposited?,6,balance_not_updated_after_cheque_or_cash_deposit,3454
"lost my phone, what is account security?",42,lost_or_stolen_phone,5369
Why do you have an identity check?,74,why_verify_identity,3771
How do I active this card?,0,activate_my_card,9268
I have not received the completed transaction.,66,transfer_not_received_by_recipient,2788
I went tot the ATM earlier today and didn't realize this till now but I did not get all the money I requested.  I believe my account was charged for 100 but I only got 80.  Is there any way we can solve this problem?,75,wrong_amount_of_cash_received,2359
what is the exchange rate for foreign ATMs,76,wrong_exchange_rate_for_cash_withdrawal,8306
I checked my statement and am being charged one pound. Where did this charge come from?,34,extra_charge_on_statement,691
Could you explain your rules for ATM fees?,19,cash_withdrawal_charge,9374
I've been using my account while abroad for a while but only recently I've been charged a fee. Why am I only being charged a fee now.,64,transfer_fee_charged,7168
Can you please explain how to transfer money using the bank transfer process?,65,transfer_into_account,7578
"My transaction history is looking a little off. I have been charged twice for multiple different purchases, and would like to have those duplicate charges refunded.",63,transaction_charged_twice,6318
How long are deliveries to the US?,12,card_delivery_estimate,1108
Can I use my card wherever I want?,10,card_acceptance,3127
How long will a cash withdrawal be pending?,46,pending_cash_withdrawal,829
I didn't get my card back from the ATM.,18,card_swallowed,6254
Why did I get charged more for using my card?,15,card_payment_fee_charged,2663
"I received a refund, however I cannot see it in my account",51,Refund_not_showing_up,5730
Why was I blocked from withdrawing from the ATM?,26,declined_cash_withdrawal,4923
I was charged several times for something,63,transaction_charged_twice,6369
"I've got a problem - I bought something with my card one or two weeks ago, but now exact same amount of the purchase is showing up in my account. I like more money in my account, but this is too good to be true. Can you tell me what's happening?",53,reverted_card_payment?,6804
"I can't transfer any money from my account to my friend's account, it keeps rejecting it. Can you tell me why? I have enough funds in my account to transfer.",35,failed_transfer,7553
"I have a strange transaction for £1 on my statement, what is that?",34,extra_charge_on_statement,582
How do I order my card?,43,order_physical_card,8133
How do I return something for a full refund?,52,request_refund,5518
I don't have a way to prove my identity.,68,unable_to_verify_identity,3961
I tried to buy something online yesterday and got a message saying declined. I tried again today and got the same message. What's the problem?,27,declined_transfer,5544
My transfer says pending. What does that mean?,48,pending_transfer,6132
How can I get my card out of the ATM?,18,card_swallowed,6297
Can you tell me why my transfer is pending still?,48,pending_transfer,6127
I put some money in my account the other day but now its gone? Why is this?,61,top_up_reverted,3200
Did a WD earlier at an ATM.  The amount showing in the App is more than I got though.,75,wrong_amount_of_cash_received,2341
Why was the price higher when I paid with my card?,15,card_payment_fee_charged,2620
What currencies are available for my use in holding and exchange?,36,fiat_currency_support,943
Why have I not received a virtual card yet?,40,getting_virtual_card,3053
what is the age limit for opening a new account,1,age_limit,1603
What happens if I use my account and my identity verification hasn't finished?,74,why_verify_identity,3829
There is a direct debit set up that I didn't create.,28,direct_debit_payment_not_recognised,4783
I have a friend who needs money as soon as possibly. If I were to transfer it how long will it take to get to her?,66,transfer_not_received_by_recipient,2816
How do I get a refund for an unauthorized direct debit payment?,28,direct_debit_payment_not_recognised,4777
I need to have an item refunded.,52,request_refund,5516
What if my top up doesn't go through?,47,pending_top_up,1935
I want my card frozen right away. Money was taken out in an odd location I have never heard of.,20,cash_withdrawal_not_recognised,8906
How can I receive money from my friend?,50,receiving_money,7381
I was using a foreign currecy to make a payment and the applied the wrong rate.,17,card_payment_wrong_exchange_rate,427
withdrawal pending meaning?,46,pending_cash_withdrawal,791
I went to use my new card today and the card was repeatedly declined. I would really like to use this card and need to know what to do about it.,25,declined_card_payment,5849
Can you tell me why my transfer is failing and help resolve?,35,failed_transfer,7442
I can't get my virtual card to work.,72,virtual_card_not_working,8193
help me find where this money came from,70,verify_source_of_funds,6522
Why was my virtual card rejected?,72,virtual_card_not_working,8174
What countries do you operate in?,24,country_support,9901
Explain to me how to verify the top-up card.,71,verify_top_up,7683
"I think something went wrong, I didn't get the right amount.",75,wrong_amount_of_cash_received,2397
how long are my top ups pending,47,pending_top_up,2013
How do I change my name after marriage,30,edit_personal_details,3727
"I was charged extra when I made a cash withdraw, why?",19,cash_withdrawal_charge,9355
I messed up a transfer and need to reverse it.,8,cancel_transfer,2092
I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there.,6,balance_not_updated_after_cheque_or_cash_deposit,3335
"I live in America, but I would like a card.",24,country_support,9958
I ordered my card and it isn't here yet. I need it ASAP. When can I expect to get it?,12,card_delivery_estimate,1044
The fee charged when I changed rubles into British pounds was too much.,17,card_payment_wrong_exchange_rate,470
My daughter need a card from this account. Is that possible?,39,getting_spare_card,7839
I see a direct debit transaction in my history that I did not set up.,28,direct_debit_payment_not_recognised,4646
I will need a new card because mine is almost expired.  How fast do I get a replacement and what is the cost?,9,card_about_to_expire,9570
I am having to wait for my transfer to be fully processed. It seems to be taking a very long time in the pending phase. What is the normal turn around time that I can expect to see it completed?,48,pending_transfer,6091
Why do you need to verify my identity?,74,why_verify_identity,3875
How do I track the card you sent me?,11,card_arrival,26
What kind of businesses will take my card?,10,card_acceptance,3108
What kind of fiat currencies are supported for holding and exchange?,36,fiat_currency_support,935
"When I got my cash, the amount was not what it should have been, based on the exchange rate.",76,wrong_exchange_rate_for_cash_withdrawal,8212
Is there a fee to top up a US card using a debit or credit card?,57,top_up_by_card_charge,9108
I topped up my account but the money isn't there now.,62,topping_up_by_card,4332
Is there a charge for using an European bank card for top up?,57,top_up_by_card_charge,9150
I made a check and cash deposit that wasn't credited to my account.,6,balance_not_updated_after_cheque_or_cash_deposit,3448
What fiat currencies do you allow exchange with?,36,fiat_currency_support,909
The ATM did not give me my card back?,18,card_swallowed,6263
Does Google Pay offer a top up option?,2,apple_pay_or_google_pay,9683
Where in the app do I go to verify my identity?,69,verify_my_identity,9857
Can you tell me when my card will arrive?,12,card_delivery_estimate,1049
The cheque I sent to you to have deposited a couple days ago has not cleared in my account yet. What is the issue?,6,balance_not_updated_after_cheque_or_cash_deposit,3347
Can I add a card to back into the app?,13,card_linking,212
How do I turn on my new card?,0,activate_my_card,9217
I received a message from a seller stating they hadn't received my money even though it definitely came out of my account. The money has now been deposited back into my account. Please get this resolved as soon as possible.,53,reverted_card_payment?,6777
There was an extra fee on my account when I got cash.,19,cash_withdrawal_charge,9450
It says pending status for my payment. Why?,45,pending_card_payment,5175
When will the money reach my  account?,67,transfer_timing,6597
"I've been trying to transfer funds to top-up my card, but the transaction is not going through.  Is there something I'm doing wrong?",59,top_up_failed,8482
Why was my transfer stopped ?,7,beneficiary_not_allowed,7087
where do you find your exchange rates?,32,exchange_rate,396
can i order cards on the app,43,order_physical_card,8165
Are their fee's for top ups?,57,top_up_by_card_charge,9086
"the balance has not changed, but I have deposited some money",6,balance_not_updated_after_cheque_or_cash_deposit,3348
I want to cancel my account.,55,terminate_account,6161
Why is the identity check involved?,74,why_verify_identity,3810
Can I open an account for my children?,1,age_limit,1597
The ATM didnt return my card!,18,card_swallowed,6274
"You will hear back from us about your verification results in 10 minutes to a one hour timeframe.  If these verification results do fail, please double-check to make sure your images are clear and have no glare or blur; your photos need to be fully readable.  You need to be 18 years of age or older and a resident of Switzerland or the European Economic Area to create an account.",68,unable_to_verify_identity,3905
Can you tell me where my readily available cash has come from?,70,verify_source_of_funds,6493
I have to verify my identity. What do I need to do?,69,verify_my_identity,9832
My Virtual card was rejected for a car rental. Why?,72,virtual_card_not_working,8207
They used the wrong rate when I made a purchase with foreign currency.,17,card_payment_wrong_exchange_rate,481
Which flat currencies are supported for holding and exchange?,36,fiat_currency_support,907
"my balance has not changed, despite depositing a cheque",6,balance_not_updated_after_cheque_or_cash_deposit,3312
How do I get my money back for a duplicated charge?,63,transaction_charged_twice,6325
Am I able to return an item for a refund?,52,request_refund,5469
I don't have my mobile device and am unable to make the payment because I forgot my details.,42,lost_or_stolen_phone,5316
Why do I see an extra €1 charge on my statement?,34,extra_charge_on_statement,610
Will it cost extra to add money to an international card?,57,top_up_by_card_charge,9153
Why has my card been declined?,25,declined_card_payment,5848
"Please tell me, do you use Visa or Mastercard?",73,visa_or_mastercard,4232
"I made a mistake and did a transaction to a wrong account, can I cancel?",8,cancel_transfer,2160
When will it be delivered to the US?,12,card_delivery_estimate,1117
Do you support top ups?,61,top_up_reverted,3268
My card is showing multiple charges for the same items on my recent statement. I was wondering what actions of needed to take to fix this issue,63,transaction_charged_twice,6429
how do i get into my account and edit my details,30,edit_personal_details,3751
I am not receiving the correct exchange rate on my card.,17,card_payment_wrong_exchange_rate,533
Do i have to wait to get the pin or can i set up a pin,38,get_physical_card,4052
"phone is gone, what should i do",42,lost_or_stolen_phone,5288
The refund doesn't show in my account,51,Refund_not_showing_up,5693
What do I do if I can't prove my identity?,68,unable_to_verify_identity,3948
Can I choose whether I receive a Visa or a Mastercard card?,73,visa_or_mastercard,4141
"I would like a disposable virtual card, could I get one?",37,get_disposable_virtual_card,8406
My phone is missing or stolen.,42,lost_or_stolen_phone,5298
What types of currencies do you accept?,54,supported_cards_and_currencies,2882
Why hasn't my in country transfer gone through yet? I confirmed the account info a couple days ago but the payment hasn't been posted yet.,66,transfer_not_received_by_recipient,2861
How can I use my credit card to transfer money?,62,topping_up_by_card,4333
I made a transfer from France two days ago now but there hasn't made it there yet. Do international transfers take longer?,5,balance_not_updated_after_bank_transfer,8629
How do I make my transfer go through,27,declined_transfer,5567
I'd like more info on getting a virtual card.,40,getting_virtual_card,3046
the exchange rate I got for cash was wrong,76,wrong_exchange_rate_for_cash_withdrawal,8312
Asked for $100 but only got $20. Why would this happen?,75,wrong_amount_of_cash_received,2347
need to know places i can withdraw money,3,atm_support,4597
I attempted to enter my pin to many times.,49,pin_blocked,1677
"I made a transfer and the receiver said an amount was received, but less than the right amount. I now have to transfer more to get the remainder to the receiver. Can you tell me about this. What's been going on?",64,transfer_fee_charged,7180
Can I tell if my top off didn't work?  It doesn't seem to have.,59,top_up_failed,8491
Can I get a card in person?,43,order_physical_card,8105
What is the limits on the number of disposable cards I can have?,29,disposable_card_limits,4450
How long will my transfer stay pending?,48,pending_transfer,6042
Why can't I add any beneficiary I choose?,7,beneficiary_not_allowed,7110
I want to take some funds from my other bank account and add them to this one.,65,transfer_into_account,7626
I notice that I have a card payment that's been cancelled.,53,reverted_card_payment?,6849
I live in the EU.  Can I order one of your cards?,24,country_support,9948
How are foreign exchange rates determined?,32,exchange_rate,351
I tried activation my card and it didn't employment,0,activate_my_card,9195
How do i secure a top-up card?,71,verify_top_up,7764
Why was I charged a fee? I thought shopping was free?,15,card_payment_fee_charged,2563
Can I use this app to exchange currencies?,33,exchange_via_app,1413
What is this extra fee while I was doing a transfer?,64,transfer_fee_charged,7308
What currencies are accepted to add money?,54,supported_cards_and_currencies,2934
My top up card needs verification and I don't know how to do it,71,verify_top_up,7775
Can you tell me how I would go about learning where my funds came from?,70,verify_source_of_funds,6514
Can you tell me why my credit card was declined while trying to top-up?,59,top_up_failed,8576
"Hey a seller just contacted me that my money didn't come through. It was definitely deducted from my account, but now it appears it's back with me! Sort this out asap please.",53,reverted_card_payment?,6743
I used an ATM and wanted to know why I was charged an extra fee.,19,cash_withdrawal_charge,9422
Foreign currency rates were put in wrong at an ATM i used.,76,wrong_exchange_rate_for_cash_withdrawal,8225
How do I see my updated balance after I make a cheque or cash deposit?,6,balance_not_updated_after_cheque_or_cash_deposit,3359
"I guess exchange rate for my payment was not correct, as i charged extra on the last saturday.",17,card_payment_wrong_exchange_rate,514
Where is the verification code display?,71,verify_top_up,7788
It's been a week since you sent my card and I still don't have it.,11,card_arrival,25
I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account?,14,card_not_working,1334
I'm suddenly getting an error while attempting a transfer that it isn't possible. Why? I've done it before.,7,beneficiary_not_allowed,7057
Do you know what your exchange rates are?,32,exchange_rate,301
I couldn't transfer to an account.,7,beneficiary_not_allowed,7128
Why was my card payment reversed?,53,reverted_card_payment?,6861
"Hello, what is a virtual card and how do I get one?",40,getting_virtual_card,3041
How long does a transfer from the UK account usually take? After completing the transfer it is not showing up. I need to know that everything I actually went okay.,5,balance_not_updated_after_bank_transfer,8771
What do I do to lock my phone after losing it so my account isn't accessed,42,lost_or_stolen_phone,5334
I would like to have assistance with activating my card.,0,activate_my_card,9265
Why is your exchange rate so bad?,17,card_payment_wrong_exchange_rate,444
i did not get any money but still was charged,75,wrong_amount_of_cash_received,2445
"If my salary is in GBP, do I need to do something?",50,receiving_money,7422
"I just transferred some money into my account and do not see it updated yet, can you assist?",5,balance_not_updated_after_bank_transfer,8707
I am worried about fees for top up cards?,57,top_up_by_card_charge,9157
"How long should a transfer normally take to process completely? I have a friend that needs it right away, but it's already been 2 hours and she hasn't received it.",66,transfer_not_received_by_recipient,2744
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,17,card_payment_wrong_exchange_rate,441
I don't think I should have been charged a fee to use my card.,15,card_payment_fee_charged,2646
There was an extra charge when I used my card,15,card_payment_fee_charged,2564
Do I need to order a new card if mine is expiring?,9,card_about_to_expire,9571
Why am I missing my refund,51,Refund_not_showing_up,5675
Why won't the machine accept my card anymore?,14,card_not_working,1327
I already have an account. Why can't I use it unless my identity is verified?,74,why_verify_identity,3789
Why hasn't my return cleared my account?,51,Refund_not_showing_up,5810
Is there an option to top up with a cheque?,58,top_up_by_cash_or_cheque,8004
"My top up did not show up as shown and my money has disappeared, can you help me fix this glitch problem?",61,top_up_reverted,3155
Am I allowed to get an account for my daughter?,1,age_limit,1647
"I want a Mastercard, instead.",73,visa_or_mastercard,4199
You operate in which countries?,24,country_support,9968
What should I do if I lost my phone?,42,lost_or_stolen_phone,5344
What is a pending cash withdrawal?,46,pending_cash_withdrawal,807
i need to add express delivery if that's an option,12,card_delivery_estimate,1091
"How do I close my account, since I'm dissatisfied?",55,terminate_account,6215
what are the steps to activate my card?,0,activate_my_card,9269
I haven't received the money from the check I deposited.,6,balance_not_updated_after_cheque_or_cash_deposit,3468
I need assistance completing a transfer. I'm trying to purchase a flat and need the money for the initial mortgage payment. I keep getting an error and the transfer is not going through. What is going on here?,35,failed_transfer,7543
How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move,45,pending_card_payment,5212
What's the limit on total number of cards I can have?,39,getting_spare_card,7812
Can I use the card at any cash machine?,3,atm_support,4546
I transferred some cash and it has not arrived yet.,66,transfer_not_received_by_recipient,2747
I requested a refund directly from the seller but I still don't have it. I just want you to send me my money back. I did what you said to do and I still don't have it.,51,Refund_not_showing_up,5751
What do I do if my disposable virtual card doesn't work?,72,virtual_card_not_working,8204
How do I go through the identity checks?,69,verify_my_identity,9797
Can you tell me your exchange rates?,32,exchange_rate,385
My card is missing.  Please help.,41,lost_or_stolen_card,1485
Is there any way i get a disposable virtual card as well?,37,get_disposable_virtual_card,8459
Why did my top-up not work?,59,top_up_failed,8573
Do you give out Visa or Mastercards?,73,visa_or_mastercard,4145
"I don't see my refund money yet in my account. I asked the merchant a while ago for a refund, so I don't know what's taking so long.  Can you look into it and see if the money is there, just not in my account yet?",51,Refund_not_showing_up,5674
"I deposited cash this morning, but it's not showing up in my account. Can you tell me where's my money?",6,balance_not_updated_after_cheque_or_cash_deposit,3363
I did a cash deposit to my account but my balance is still the same. What happened?,6,balance_not_updated_after_cheque_or_cash_deposit,3327
I want to close my account & I will never do business with you again.,55,terminate_account,6197
"Hello. I tried doing a topup and I thought it worked, but now the money is no longer in my account. Can you explain?",61,top_up_reverted,3265
There is an unauthorized payment in my statement.,16,card_payment_not_recognised,3540
I have been trying to exchange this for crypto but the app won't work could you please help me?,7,beneficiary_not_allowed,7089
Yesterday I had my phone stolen.  Please advise what I should do.,42,lost_or_stolen_phone,5321
Can I give a second card for this account to my daughter?,39,getting_spare_card,7931
It is extremely important that I cancel the transfer I made yesterday and put the money into a different account.  Is this possible?,8,cancel_transfer,2137
the exchange rate for my withdrawal is wrong,76,wrong_exchange_rate_for_cash_withdrawal,8338
Is it normal to see a fee for transferring money?,64,transfer_fee_charged,7214
How much is the charge to top up via credit card?,57,top_up_by_card_charge,9110
I've made a horrible mistake!  I transferred money to the wrong account by accident!  I entered one of the digits wrong.  I need this cancelled immediately please.,8,cancel_transfer,2111
How do I go about cancelling a transaction?,8,cancel_transfer,2191
Instructions for activating card,0,activate_my_card,9232
Someone took my card without permission,41,lost_or_stolen_card,1528
where exactly does money come from,70,verify_source_of_funds,6481
The app is telling me that I am not me.,68,unable_to_verify_identity,3947
Why wouldn't the ATM give me cash?,26,declined_cash_withdrawal,5085
"I accidentally made a payment from the wrong account yesterday. It's my rent payment, and it's very large, so the account I paid from won't be able to cover the amount. It's really important that the payment be made from the right account?",8,cancel_transfer,2088
Where are you present globally?,24,country_support,9902
I topped up but my money is not showing. Why is that?,61,top_up_reverted,3262
Can I use top-up with Apple pay?,2,apple_pay_or_google_pay,9670
Why was my PIN blocked?,49,pin_blocked,1709
when will my transfer clear,48,pending_transfer,6092
There is a Direct Debit that looks suspicious.,28,direct_debit_payment_not_recognised,4638
Will money be added automatically when necessary?,4,automatic_top_up,1179
I completed a payment with my card a while ago. It's still showing up as pending. What time frame does this normally take? It doesn't appear to have worked.,45,pending_card_payment,5216
"Hi. A couple hours ago I make a transfer from my UK bank account, but it hasn't shown up. Please, would you see what the delay is?",5,balance_not_updated_after_bank_transfer,8712
How many different currencies can I have my money in?,36,fiat_currency_support,899
I am unhappy with an item I bought. How do I get a refund?,52,request_refund,5488
How do I delete my account? I am dissatisfied with the service.,55,terminate_account,6175
"I was charged a fee when I transferred my funds, why?",64,transfer_fee_charged,7277
I would like to change currency,33,exchange_via_app,1442
Editing my personal details,30,edit_personal_details,3762
"I'm trying to move money from my account to elsewhere, but it's giving me an error message.",27,declined_transfer,5643
"Hi, there is a suspicious payment from my card. I definitely do not know who this is or who could have made this payment.",16,card_payment_not_recognised,3519
Can I transfer money to my account with the app?,65,transfer_into_account,7644
Who charged me a fee for paying by card?,15,card_payment_fee_charged,2547
I got a cheque that I want to top up with?,58,top_up_by_cash_or_cheque,7954
"I would like to get a physical card, but I don't know how. Can you help me?",43,order_physical_card,8061
I do not recognise this card payment.,16,card_payment_not_recognised,3592
"I received my American Express in Apple Pay, is there a reason why top up is not functioning properly?",2,apple_pay_or_google_pay,9690
What is your opinion on the exchange rate?,32,exchange_rate,339
"I'm having money transferred from Europe, how long will this take?",67,transfer_timing,6695
Your foreign exchange rate is wrong.,17,card_payment_wrong_exchange_rate,527
I'm not sure why my card didn't work,25,declined_card_payment,5836
Help me cancel a transaction.,8,cancel_transfer,2152
How long is the delivery to the US?,12,card_delivery_estimate,1070
I'd like to order an additional card,39,getting_spare_card,7805
Delete my account now please.,55,terminate_account,6187
Why was the exchange rate so wrong when I bought something!,17,card_payment_wrong_exchange_rate,425
Why did I get charged for a withdrawal?,19,cash_withdrawal_charge,9452
Why isn't top-up working? My top-up money disappeared after I saw that it was successfully transferred. Is it gone? Where did it go?,61,top_up_reverted,3197
"Using Google Pay, can I top up?",2,apple_pay_or_google_pay,9704
When I was transferring money I was charged extra why?,64,transfer_fee_charged,7294
"My card is about to expire, what do I do?",9,card_about_to_expire,9587
what steps do i do to get a real card,43,order_physical_card,8053
Too many times I entered the incorrect PIN.  How can I get my account unblocked?,49,pin_blocked,1769
Can I still access the app even though my phone was stolen?,42,lost_or_stolen_phone,5333
"Hello, I have noticed a problem on my recent withdrawal at the banks atm machine.  I made a transaction and upon receiving my funds from the machine, a fee was assessed to my withdrawal.  Are these types of transactions free of charge?",19,cash_withdrawal_charge,9490
There's a payment that isn't mine on my app,16,card_payment_not_recognised,3509
Are cheques accepted for a top up?,58,top_up_by_cash_or_cheque,8032
Why was I charged a fee for transferring money,64,transfer_fee_charged,7250
I need my card to be delivered fast,12,card_delivery_estimate,1059
My daughter would like a card from my account?  Can I do this?,39,getting_spare_card,7840
Will you tell me how I am supposed to use the disposable cards?,37,get_disposable_virtual_card,8398
Supported countries,24,country_support,9979
There is a payment that I made that hasn't gone through yet.,45,pending_card_payment,5096
Where can I find the verification code for a top-up?,71,verify_top_up,7778
Can I automatically top-up when traveling?,4,automatic_top_up,1180
My credit card transaction was declined for a loan payment.  Can you tell me why?,59,top_up_failed,8555
Can I link your physical card,13,card_linking,276
How can I convert currencies?,33,exchange_via_app,1392
What do I do to get ahold of my own card?,43,order_physical_card,8055
My contactless stopped working today for no good reason. It's not working no matter where I try to use it. Can you please help me fix it?,23,contactless_not_working,1797
Am I able to Top Up with Apply Pay?,2,apple_pay_or_google_pay,9713
I deposited cash into my account and I'm having trouble seeing it on my account.,6,balance_not_updated_after_cheque_or_cash_deposit,3434
hello I have lost my phone and I'm worried someone's going to steal money from me,42,lost_or_stolen_phone,5352
When will it get delivered?,12,card_delivery_estimate,1075
how much to get my card in 2 days?,12,card_delivery_estimate,1080
The ATM kept my card?,18,card_swallowed,6285
I would love one of the virtual cards!,40,getting_virtual_card,3049
"My card payment is just showing up as pending since forever, what's going on with that, when should it be going through?",45,pending_card_payment,5174
"My card isn't working at all, I need assistance. It's really frustrating.",14,card_not_working,1247
My account is devoid of funds. Am I permitted to submit additional money via bank transfer?,65,transfer_into_account,7607
Will I get extra charges?,64,transfer_fee_charged,7311
Is it possible to change from AUD to GBP?,33,exchange_via_app,1363
The transfer to my beneficiary has not gone through,7,beneficiary_not_allowed,7102
It won't let me verify my identity.,68,unable_to_verify_identity,3923
My new card needs activating.,0,activate_my_card,9281
"My new card just arrived, how can I activate it?",0,activate_my_card,9240
Do I need to re-apply to order a new card when my old one's about to expire?,9,card_about_to_expire,9609
Can you accept my other card from the U.S.?  It is the only other one I have.,54,supported_cards_and_currencies,2911
Show me where I can see the PIN?,38,get_physical_card,4092
How often can I top up?,60,top_up_limits,2270
Will this card work at any ATM?,3,atm_support,4551
I need a refund on a direct debit that shows in the app because I did not make it.,28,direct_debit_payment_not_recognised,4658
My card activation attempt failed.,0,activate_my_card,9287
What do I do if I forgot my passcode?,44,passcode_forgotten,4873
I tried to top-up but it got denied.,59,top_up_failed,8520
Who do I talk to about the ATM swallowing my card?,18,card_swallowed,6286
What fees to you have for top ups?,57,top_up_by_card_charge,9107
"My Netflix subscription says that there is an issue with my card information, but I thought everything was fine. Why would it be declined?",14,card_not_working,1270
What should I do if I see an unauthorized withdrawal on my statement?,20,cash_withdrawal_not_recognised,8814
Who can send me money?,50,receiving_money,7394
Can it add money every so often automatically while I travel?,4,automatic_top_up,1231
I can't get my virtual card to work at all,72,virtual_card_not_working,8192
"I signed up, but don't have a PIN. Where can I find it?",38,get_physical_card,4040
I got cash abroad and need to check the exchange rate,76,wrong_exchange_rate_for_cash_withdrawal,8294
Do I need to verify the top-up?,71,verify_top_up,7759
A transaction is showing more than once.,63,transaction_charged_twice,6371
"There is an extra charge on my account I didn't authorise, it's just £1, what is it?",34,extra_charge_on_statement,678
"Hi, I am trying to buy something online, but i think there is some issue in my card. As payment is reverted. Please help me in this as i am facing the same issue from last two weeks.",53,reverted_card_payment?,6813
Do you accept cash?,58,top_up_by_cash_or_cheque,8022
My refund is not showing up in my account. Where is it?,51,Refund_not_showing_up,5788
Is there a problem that makes my payments show pending?,45,pending_card_payment,5196
When will the money from a transfer be made available on my account?,67,transfer_timing,6661
Can I exchange currency for different types?,33,exchange_via_app,1434
What is the process to link the new card?,13,card_linking,214
Why hasn't the transaction I did to my friend arrive yet?,66,transfer_not_received_by_recipient,2730
It declined my transfer.,27,declined_transfer,5583
The ATM keeps declining my card! I tried two different ATMs already can you please check if everything is alright with my account??,26,declined_cash_withdrawal,4948
Can I select my card scheme or do you choose it for me?,73,visa_or_mastercard,4167
Why was there a fee when I pulled cash?,19,cash_withdrawal_charge,9440
"Hi, I'm trying to by some crypto and the app isn't allowing it. I really want to exchange this, what am I doing wrong?",7,beneficiary_not_allowed,7140
How can I unblock my PIN?,49,pin_blocked,1684
My transfer has been pending for a long time now. I already double checked my account info and it is correct. Why is it taking so long in 2018 to transfer money?,48,pending_transfer,6070
I want to transfer a sum of money from another bank account I have into this one,65,transfer_into_account,7643
How can I exchange USD and GBP in the app?,33,exchange_via_app,1446
How long does it take for cards to be delivered after ordering them?,12,card_delivery_estimate,1078
I think you reverted my top up.,61,top_up_reverted,3186
Will I be sent a new card before mine expires?,9,card_about_to_expire,9535
Can you tell me where  can change my PIN?,21,change_pin,6938
What are the disposable card limits?,29,disposable_card_limits,4436
How do i cancel a charge?,8,cancel_transfer,2085
I haven't received the cash from the check I deposited.,6,balance_not_updated_after_cheque_or_cash_deposit,3412
I think when I withdrew money when out of country the exchange rate was wrong.,76,wrong_exchange_rate_for_cash_withdrawal,8215
Can you help me reset my passcode? I forgot it.,44,passcode_forgotten,4868
My card payment is being declined and I've tried several times.,25,declined_card_payment,5904
"Hello, Please look into this matter urgently. As i have lost my wallet and i can see one withdrawal, now i do not want to loose more money.",20,cash_withdrawal_not_recognised,8790
I sent a payment to the wrong account number - can that transaction be reversed? I am worried about accidentally giving my money away.,8,cancel_transfer,2155
I need to renew a card that's about to expire,9,card_about_to_expire,9610
How long do I have  to wait for my transaction to be completed?,66,transfer_not_received_by_recipient,2756
How come my cash withdrawal came with an unnecessary fee?!,19,cash_withdrawal_charge,9415
How limited is a virtual card?,29,disposable_card_limits,4353
People are using my debit card - help!,28,direct_debit_payment_not_recognised,4760
I can't find any option to top up with a cheque?,58,top_up_by_cash_or_cheque,7937
Explain why I can't do a transfer to an account.,7,beneficiary_not_allowed,7055
How do I know when my card will expire?,9,card_about_to_expire,9545
I see a direct debit that I didn't authorize,28,direct_debit_payment_not_recognised,4806
What is the function of the disposable cards?,37,get_disposable_virtual_card,8387
wheres my money receipt,66,transfer_not_received_by_recipient,2739
"Help! I think someone has a copy of my card - I still have my card, but a five hundred pound cash withdrawal that I didn't authorize is shown on my account.",20,cash_withdrawal_not_recognised,8810
